All my fans tell me what a glamorous life I have, but I tell them how hard I work and how many nights I spend alone with my dogs, eating chicken pot pie in my bedroom.;Shannen Doherty
I've been left alone, even by the paparazzi, because what sells is sex and scandal. Absent that, they really don't have much interest in you. I'm still married, still working, still happy.;Matt Damon
Although born in a prosperous realm, we did not believe that its boundaries should limit our knowledge, and that the lore of the East should alone enlighten us.;Charles de Secondat
Science and vision are not opposites or even at odds. They need each other. I sometimes hear other startup folks say something along the lines of: 'If entrepreneurship was a science, then anyone could do it.' I'd like to point out that even science is a science, and still very few people can do it, let alone do it well.;Eric Ries
A movie like House of the Dead with around $7 million budget or Alone in the Dark with around $16 million budget are much easier to make profit than the typical $50 million major motion picture.;Uwe Boll
If you're truly in a band and you guys have been together for a long time, there's a family bond that you have. In fact, I've talked about this with therapists, especially if you're talking about a relationship, because when you're with somebody, you're going to your family, and she's alone.;Gary Allan
I mean one of the things about being alone is that you've no people to define yourself off, I mean, people are like all-round mirrors, because let's face it, we don't often see ourselves all round in a mirror anyway, do we.;Diana Wynne Jones
The devil had as good have let Paul alone, for he no sooner comes into prison but he falls a preaching, at which the gates of Satan's prison fly open, and poor sinners come forth.;William Gurnall
Every three days on average, I am alone on stage, facing the public.;Placido Domingo
But in the end, in the end one is alone. We are all of us alone. I mean I'm told these days we have to consider ourselves as being in society... but in the end one knows one is alone, that one lives at the heart of a solitude.;Harold Bloom
The Jew does not wish to be isolated. He fears being alone, without allies.;Meir Kahane
I think that in itself is kind of an amazing achievement to be able to say that your full-time career is in any creative arts, let alone a show that has kept people interested for coming on four seasons and hopefully more.;Anna Paquin
In today's interdependent world, a threat to one becomes a menace to all. And no state can defeat these challenges and threats alone.;Michelle Bachelet
Artists walk alone.;Ezra Miller
Christmas lights may be the loneliest thing for me, especially if you mix them up with reindeers and sleighs. I feel alone. I feel isolated. I feel I do not belong.;Mira Nair
In my cranky old age, I actually prefer recording alone now, on 'The Simpsons,' for example, because I find that the director can just focus on what I'm doing and I can do a lot of variations. A lot of times, when I record with a group, I'll stay after class for another hour or two.;Hank Azaria
I'm so secluded. Very alone.;Yves Saint Laurent
It felt like the first thing, but when I first started out, I got a job adapting a book by Russell Banks called 'Rule Of The Bone.' I didn't do a very good job. I didn't really know what I was doing in general, let alone how to adapt a book.;Paul Thomas Anderson
Let me alone: I have yet my legs and one arm. Tell the surgeon to make haste and his instruments. I know I must lose my right arm, so the sooner it's off the better.;Horatio Nelson
On the stage, you alone hold the key, and on the night you have to trust that the director has inspired you enough to take the material and run with it.;Greta Scacchi
We cannot know the whole truth, which belongs to God alone, but our task nevertheless is to seek to know what is true. And if we offend gravely enough against what we know to be true, as by failing badly enough to deal affectionately and responsibly with our land and our neighbors, truth will retaliate with ugliness, poverty, and disease.;Wendell Berry
I am convinced that living in an enclave shapes the personality, and living alone shapes the personality too.;Mary Douglas
European investment in Texas alone exceeds all U.S. investment in China and Japan put together.;John Bruton
There's great sadness and life doesn't work out like you would want, on a lot of levels, but there's no need to feel all alone. This happens to everybody, so there's no cls-pity. This is the ride that humans are on, and all of it is essential for our natural part of it.;Mike Mills
I like to be alone so I can write. But focus can hurt you. I don't want to be some stress casualty in early middle age.;James Ellroy
I am aware that in presenting myself as the advocate of the Indians and their rights, I shall stand very much alone.;Sam Houston
A singer for me is more like someone who is standing alone with a microphone like Scott Walker, rather than someone who is bashing a plank and is spitting all over a microphone.;Graham Coxon
You have to respect your audience. Without them, you're essentially standing alone, singing to yourself.;K. D. Lang
She goes through the vale of death alone, each time a babe is born. As it is the right neither of man nor the state to coerce her into this ordeal, so it is her right to decide whether she will endure it.;Margaret Sanger
There's nobody else on the face of this earth that's playing a sport at a highest level... with a transplant. That alone continues to inspire me, because I realize throughout the whole world the struggles that people are going through. I need to inspire them the best way I can.;Alonzo Mourning
This communication alone, by the comparison of the antagonisms, rivalries, movements which give birth to decisive moments, permits the evolution of the soul, whereby a man realizes himself on earth. It is impossible to be concerned with anything else in art.;Robert Delaunay
I think all teenagers feel alone, and that nobody else knows what they are going through and all that sort of stuff.;Nicholas Hoult
Life certainly points it out to you - 'you can go this way or the other way.' You have to decide and it's a very strong decision because, would you sleep well knowing that you're living in the best place, but you're letting the place where you should live alone?;Gael Garcia Bernal
People with fertility problems are not alone. It is a very very common problem for couples today. I've seen statistics that are just staggering.;Michael Zaslow
